question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation
131,"自願醫保產品的保費的釐定,主要根據:  I. 國籍 II. 年齡 III. 性別 IV. 投保人收入","I, II","I, III","II, III","I, II, III, IV",C,"按自由市場原則,自願醫保的產品提供者可自由訂定保費水平。根據市場的壹般做法,認可產品的準保費可因應年齡及性別有所不同。"
132,自願醫保的保費根據哪家機構議定?,食衛局,保監局,保險業聯會,"自願醫保的保費不受約束,按自由市場原則議定",D,"自願醫保的保費不受約束,按自由市場原則議定。"
133,"為《保單範本》作出補充,給自願醫保的產品提供者訂明操守及準則,當中涵 蓋產品提供、轉移安排、銷售及推广、投保申請的處理、冷靜期、售後服務等方面是以下哪份文件?",《自願醫保計劃下保險公司的註冊規則》,《自願醫保計劃認可產品保單範本》,《自願醫保計劃下產品的合規規則》,《自願醫保計劃下保險公司的實務守則》,D,"《自願醫保計劃下保險公司的實務守則》為《保單範本》作出補充,給自願醫保的產品提供者訂明操守及準則,當中涵蓋產品提供、轉移安排、銷售及推广、投保申請的處理、冷靜期、售後服務。"
134,保單保證受保人可以續保至:,65歲,80歲,99歲,100歲,D,"保單保證受保人可以續保至100歲,並且不設「終身保障限額」——即醫療保險單承諾在受保人的壹生 中累計支付的最高金額。"
135,自願醫保適用於:,年齡介乎15天至80歲的香港居民(包括香港身份證持有人),年龄介乎15歲至80歲的香港居民(包括香港身份證持有人),年龄介乎15天至80歲的香港永久性居民(包括香港身份證持有人),年齡介乎15歲至80歲的香港永久性居民(包括香港身份證持有人),A,自願醫保適用於年齡介乎15天至80歲的香港居民(包括香港身份證持有人)。
136,"一份適用於包括自願醫保在內的所有醫療保險的醫療保險業務指引,就預期水平/標準和做法提供指引,以確保消費者獲得公平對待是以下哪家機構發出的?",食衛局,保監局,保險業聯會,醫管局,B,"保監局發出壹份適用於包括自願醫保在內的所有醫療保險的醫療保險業務指引，就預期的水平/標準和做法提供指引,以確保消費者獲得公平對待。"
137,"自願醫保的產品提供者應確保所有銷售及推廣資料,均為準確及非誤導性,以及提供哪些語文的版本?",同時提供中英文版本,同時提供中英文版本(社交媒體及廣告除外),按客戶要求提供中文或英文版本,只需備有中文版本,B,"自願醫保的產品提供者應確保所有銷售及推廣資料,均為準確及非誤導性,以及提供同時提供中英文版本(社交媒體及廣告除外)。"
138,有關診斷成像檢測所設定的保障:,"標準計劃屬於共同保險安排,靈活計劃屬於自付費安排","標準計劃屬於自付費安排,靈活計劃屬於共同保險安排",標準計劃和靈活計劃都屬於自付費安排,"標準計劃和靈活計劃都屬於共同保險安排,然而靈活計劃可能提供額外的自付費安排",D,"有關診斷成像檢測所設定的保障,標準計劃和靈活計劃都屬於共同保險安排,然而靈活計劃可能提供額外的自付費安排。"
139,自願醫保是否可以自由選擇病房級別選擇?,標準計劃以及靈活計劃都可以,標準計劃以及靈活計劃都不可以,"標準計劃可以,而靈活計劃則不可以","標準計劃可以,而靈活計劃的基本保障部分可以,額外保障的部分則視乎條款",D,"根據自願醫保計劃,標準計劃以及靈活計劃的基本保障可以自由選擇病房級別。靈活計劃的額外保 障,則視乎條件,可以或不可以自由選擇病房級別。"
140,自願醫保的保障適用於:,香港的公營醫療系統,香港的私營醫療系統,香港的公營以及私營醫療系統,全球的醫療系統,D,"自願醫保的產品提供者在銷售過程中及接獲查詢時,應向消費者解釋,除精神科治療外,標準計劃中所有保障均全球適用。"
141,自願醫保的全球適用的保障不適用於:,外科治療,精神科治療,皮膚科治療,兒科治療,B,"自願醫保的產品提供者在銷售過程中及接獲查詢時,應向消費者解釋,除精神科治療外,標準計劃中所有保障均全球適用。"
142,自願醫保是否可以選擇醫療服務提供者?,標準計劃以及靈活計劃都可以,標準計劃以及靈活計劃都不可以,"標準計劃可以,而靈活計劃則不可以","標準計劃可以,而靈活計劃的基本保障部分可以,額外保障的部分則視乎條款",D,"根據自願醫保計劃,標準計劃以及靈活計劃的基本保障可以自由選擇醫療服務提供者。靈活計劃的額外保障,則視乎條件,可以或不可以自由選擇醫療服務提供者。"
143,"如屬對保障地域範圍作出限制的靈活計劃,是否能對海外的住院開支提供保障?",任何情況下都不可以,靈活計劃並不可以對保障地域範圍作出限制,"靈活計劃的基本保障/標準計劃部分是可以提供保障的,然而額外保障的部分則因保障地域範圍不可以提供保障","靈活計劃的基本保障/標準計劃部分是不可以提供保障的,然而額外保障的部分則不受保障地域範圍規限,可以提供保障",C,"靈活計劃的基本保障/標準計劃部分是可以對海外的住院開支提供保障的,然而額外保障的部分則因保障地域範圍不可以提供保障。"
144,以下哪項對於商業組合保單的描述是正確的?,流行程度頗低,市場上極為罕見,在法律上是禁止的,目前已較普遍,D,"組合保單及壹籃子保單均是提供多於壹種保險的單壹保單文件,比如火險、營業中斷險、盜竊險、僱員補償保險和公眾責任險。當大型機構開始採用更先進的方法進行風險管理,並增強了對保險的重視程度時,這種趨勢便愈見明顯。"
145,"一個物業在特定期間內空置,家居保單通常會暫停提供保障。這段期間為:",48小時,1星期,30天,60 天,C,"如果有關處所連續空置超過三十天,保單通常便會暫停提供保障(有時仍承保火災及自然危險)。"
146,家居保險的主要承保範圍:,建築物及/或其內部的物品,責任保險,人身意外保險,火災所引起的結構危險,A,"家居保險主要是提供財產保險,所承保的是屬於被保險人的建築物及/或其內部的物品。"
147,"在一般家居保險中,受保範圍包括: (i) 因火災導致財物盜竊損失 (ii) 因火災導致財物非盜竊損失 (iii) 人從窗戶進入的盜竊損失 (iv) 逃避火災過程中遺失物件",(i)及(ii),(i)、(ii)及(iii),(ii)、(iii)及(iv),(i)、(ii)、(iii)及(iv),B,"基本的指明危險保障必定承保火災,也能進而包含火險中大部分可保的附加危險。附加危險的項目很多,包括風暴/旋風、地震、爆炸、動物/車輛碰撞等。除此之外,盜竊引起的損失或損害也包括在内。但在逃避火災過程中遺失物件則不在受保範圍。"
148,"買了家居保險的人身意外保險,通常會在那些情況下獲得保障?",謀殺,任何意外,任何成因,火災或盜竊,D,"如果被保險人或其任何家庭成員在火災中死亡或死於盜賊之手,就會獲壹次性支付人身意外保險利益。"
149,以下哪項屬於家居保險保單中的指明危險?,火災造成的損失,盜竊造成的損失,颱風造成的損失,以上所有各項,D,"基本的指明危險保障必定承保火災,也能進而包含火險中大部分可保的附加危險。附加危險的項目很 多,包括風暴/旋風、地震、爆炸、動物/車輛碰撞等。除此之外,盜竊引起的損失或損害也包括在內。"
150,住宅物業的業主及住客較可能投保以下哪類保單?,火險保單而已,純家居物件保單而已,純建築物保單,建築物及家居物件保單,D,"家居保險的保障範圍不是指明危險的就是「全險」的。建築物的保障傾向是指明危險的,而家居物件保障則傾向是「全險」的。"
151,家居保險的主要保障範圍是:,建築物及/或家居物件,向第三者承擔的法律責任,由受保危險引致的額外損失或另覓住宿開支,人身意外的保障,A,"家居保險主要是提供財產保險,所承保的是屬於被保險人的建築物及/或其內部的物品。"
152,住宅物業的租客較可能投保以下哪類保單?,火險保單而已,家居物件保單而已,建築物保單而已,建築物及家居物件保單,B,住宅物業的租客較可能投保純家居物件保險保單，
153,"為取得較佳的保障,住宅物業的業主及佔用人購買以下哪類保單是較可取的方法?",火險保單而已,家居物件保單而已,建築物保單而已,建築物及家居物件保單,D,"家居保險的保障範圍不是指明危險的就是「全險」的。建築物的保障傾向是指明危險的,而家居物件保障則傾向是「全險」的。"
154,"在本港,向房東租用私人單位的租客,較有可能購買:",商業火險,家居物件保單而已,家居建築物保單而已,家居建築物及物件保單,B,"在本港,向房東租用私人單位的租客,較有可能購買純家居物件保障。"
155,"如果投保額一百萬,而實際價值是二百萬,但真正損失是一百萬,賠償額應該是:",一百萬,二百萬,"因投保不足,故不作賠償作為懲罰",五十萬(計算比例分攤),D,"根據比例分攤條件,當保費是按照由被保險人自選的保額計算時,保單條款中會包括壹項比例分攤條 件,規定如果損失發生時出現了不足額保險的情況,被保險人就不會就全數損失獲得保障。例如,發生損失時的保額只是受險價值的80%,那麼赔付的金額也只限於損失的80%,並不能高於保額。"
156,"一般的家居保險單,會提供下列哪項的保障?",財產保障,若干的人身保障,若干的經濟權益保障,上述所有各項,D,"家居保險不僅包括財產保險(主要是「全險」保障),也涉及壹些責任保險,甚至壹些人身保險與經清權益保險。"
157,只就物業的損失或損毀提供保障的家居保單適合:,租客,房東,業主及租客,擔任該物業按揭的銀行,B,"如果受保處所因受保危險而變得不能居住,保單便會給受保佔用人彌償任何入住替代住宿所需開支, 或給受保業主補償租金的損失。(當然,這些都屬於險經濟權益保險。)"
158,"在基本的家居保險中,以下哪項情況引致受保建築物受損相當可能是不保事項?",暴亂,火災,爆炸,企圖盜竊,A,"暴亂屬除外責任,"
159,家居保險一般是由下列哪個保險部簽發的?,火險,意外保險,汽車保險,人壽及健康保險,A,"家居保險是私人保險(有時稱為個人或私人險種)中的主要成員,很多公司是透過其火險部門來承保 這項業務的。"
160,以下哪項不屬於家居保險的保障範圍?,火災,暴亂,爆炸,失竊,B,家居保險的限制及除外責任包括戰爭、暴亂及類似風險。
161,香港的家居保險的主要保障範圍是:,建築物/家居物件的財產保險,對導致第三者死亡或受傷的責任保險,因損失或損害而帶來的額外開支或租金損失,受保人因火災而死亡的人身意外保險,A,"家居保險主要是提供財產保險,所承保的是屬於被保險人的建築物及/或其內部的物品。"
162,只就家居物件的損失或損毀提供保障的家居保單適合:,租客,房東,業主及租客,擔任該物業按揭的銀行,A,"只就家居物件的損失或損毀提供保障的家居保單即純家居物件保險保障 (Contents Only Cover), 它不保建築物,相當可能由租客投保。"
163,以下哪項不是旅遊保險的保費計算考慮因素?,保險日數,地區範圍,被保險人的性別(男性/女性),同行人數,C,"釐定旅遊保險保費的重要因素不包括被保險人的性別,"
164,以下哪項較可能是一般於香港簽發的旅遊保險的除外責任?,被保險人於空中撞機身亡,被保險人於渡假時自殺身亡,被保險人的行李於酒店房間遭盜竊,被保險人於渡假期間失足墮下所引起的醫療開支,B,"被保險人於渡假時自殺身亡屬旅遊保險的除外責任,"
165,香港的旅遊保險的核保是:,"必須徹底核保,因為受保的風險種類繁多",最少也要與個人意外保險的核保般徹底,不能與其他種類保險般深入核保,採納與人壽保險核保的標準,C,"旅遊保險業務的特點是盡量將壹切都簡單化,因為人們通常在最後關頭才去投保,而且不能做到「用 家方便」的產品很難在這種大型的市場中取得成功。所以,甚少對風險個別地進行核保。"
166,"在本港簽發的旅遊保單中,以下哪種情況較可能/或必會得到保障?",乘飛機時導致行李遺失,旅遊期間治療胃病的醫療開支,旅遊期間因盜賊行劫導致的財物損失,以上所有各項,D,"所有各項都是旅遊保險的保障範圍,"
167,以下哪項不屬於旅遊保險的保障事項?,投保人自殺身亡,患上嚴重感冒的醫療開支,在酒店不小心引起的責任,以上所有各項,A,"投保人自殺身亡是旅遊保險的除外責任,"
168,下列哪項是旅遊保險的保障範圍? (i) 醫療開支 (ii) 損失訂金 (iii) 公眾責任保障 (iv) 送返開支,(i)及(iii),(i)及(ii),以上全部正確,以上全部不正確,C,"所有各項都是旅遊保險的保障範圍,"
169,旅遊保險的保費根據源於:,地域範圍,行程天數,同行者的人數,以上各項皆有可能,D,"所有各項都是釐定旅遊保險保費的重要因素,"
170,"旅遊保險中,最適合形容該保障是:",一張短期人壽保單,只提供行程上索償的保單,可以形容是一籃子的保單,對個人責任提供保障,C,"旅遊保險保障通常屬於「壹籃子」交易,"
171,以下哪些情況相當可能是旅遊保險之賠償範圍?,被保人自殺,因使用汽車而導致的責任,在酒店的酒吧因意外導致財物破壞的責任,以上各項皆不是,C,"旅遊保險的保障範圍頗為廣泛,其中包括對個人責任保障,即承保受保人對第三者的死亡、受傷或財產損害所承擔的法律責任,及相關訟費及開支。"
172,旅遊保險通常歸屬於:,指明保險,度假保險,全險,一籃子保單,D,"旅遊保險保障通常屬於「壹籃子」交易,"
173,以下哪項並不是旅遊保險中保費計算的根據?,旅游目的地範圍,旅遊日數,被保險人的性別(男性/女性),同行人數,C,釐定旅遊保險保費的重要因素如下: (i)地域範圍 (ii) 持續時間 (iii)受保人數目
174,以下哪項屬旅遊保險所保障的範圍?,投保人自殺,使用汽車時所引致的責任,於酒店酒吧中因損壞財物引致的責任,以上所有各項,C,"旅遊保險的保障範圍頗為廣泛,其中包括對個人責任保障,即承保受保人對第三者的死亡、受傷或財產損害所承擔的法律責任,及相關訟費及開支。"
175,保險人對旅遊保單的核保:,是所有保險產品中核保得最徹底的,起碼比個人意外保險的核保徹底,甚少出現個別的風險核保,與人壽保險的準則相符,C,"旅遊保險業務的特點是盡量將壹切都簡單化,因為人們通常在最後關頭才去投保,而且不能做到「用家方便」的產品很難在這種大型的市場中取得成功。所以,甚少對風險個別地進行核保。"
176,「總保單」是:,繳付一個總保險費的保單,保單的正本,旅遊代理人用以安排渡假「套餐」的保險單,以全險作為根據,C,向很多安排度假「套餐」的旅行代理商簽發「總保單」是壹種頗為普遍的做法。
177,"旅遊保險人發出的渡假「套餐」旅遊保單,當遭遇一群保單持有人的巨大風險 (如飛機墜毀),該賠償金額可能極為龐大,這稱為:",積累,複合危險,複合風險,基本風險,A,"旅遊保險人發出的渡假「套餐」旅遊保單,當遭遇壹群保單持有人的巨大風險(如飛機墜毀),該賠償金額可能極為龐大,這稱為積累。"
178,商業保險組合的保險範圍包括:,財產保險的保障,經濟權益保險的保障,責任保險的保障,以上所有各項,D,"商業保險組合保單可以包括任何類型的保障,包括財產、經濟權益及責任風險。"
179,商業保險組合保單通常包括哪些項目?,財產保險,責任保險,經濟權益保險,以上兩項或以上的組合,D,商業保險組合保單通常包括財產保險、經濟權益保險及責任保險。
180,以下哪項保單較不可能屬於責任保險組合保單的保障範園?,公眾責任保單,汽車責任保單,產品責任保單,僱員補償保單,B,"在典型的情況下,責任保險組合保單在壹份文件內提供公眾責任、產品責任和僱員補償等三種保障。"
181,以下哪項不是向大型機構所提供的「傘括」類型組合保障的特點?,只提供財產及責任的保障,可按被保險人的需要而個別草擬,提供財產保障以全險為根據,包括大部份保險類別(財產、責任等),A,"「傘括」類型組合保障可以包括任何類型的保障,包括財產、經濟權益及責任風險。"
182,"典型商業保險組合保單提供的責任保險組合保單,保障較可能包括:",汽車、公眾責任及產品責任,公眾責任、產品責任及經濟權益,公眾責任、產品責任及僱員補償(法定)責任,專業責任、經濟權益責任及財產責任,C,"在典型的情況下,責任保險組合保單在壹份文件內提供公眾責任、產品責任和僱員補償等三種保障。"
183,以下哪項很可能不屬於責任保險組合保單的範圍?,公眾責任,產品責任,汽車責任,僱員補償責任,C,"在典型的情況下,責任保險組合保單在壹份文件內提供公眾責任、產品責任和僱員補償等三種保障。"
184,提供財產及經濟權益方面保障的組合保單可以以下哪一種形式簽發?,全險,指明危險,約定價值,火險與盜竊險,A,"財產及經濟權益保險組合保單傾向於提供「全險」保障,在同壹張保單下提供實物損害和營業中斷保障。"
185,以下哪項屬於商業保險組合保單的特點?,它通常以「全險」形式為財產提供保障,它可以在保費上累積一定的減省,它在文件上提供一定程度上方便,以上所有各項,D,"所有各項都是商業保險組合保單的特點,"
186,商業保險「組合」保單:,提供全險保險,累積保費的節省,可以節省多份保單,以上所有各項,D,"所有各項都是商業保險組合保單的特點,"
187,[傘括」類型組合保障相當可能承保(或保障):,過量雨水帶來的風險,財產保險而已,責任保險而已,所有風險(財產保險、責任保險和經濟權益保險),D,"「傘括」類型組合保險保障可以包括任何類型的保障,包括財產、經濟權益及責任風險。"
188,以下哪項屬於火災保單中的保障項目?,消防員用水救火造成的損失,閃電引致的非火災損失,閃電引致的火災,以上各項都是,D,"如果火災是近因,那麼「火災」損害便包括由煙、熱力,以及撲救火災時用的水引致的損害。由消防隊或其他參與救火的人合理地造成的損害,也在保障範圍之內。不管火災是否隨後發生,閃電都是受保危險。"
189,"營業中斷保險中,有一項重要的保單條文,保障在受保危險發生後的一段時間的損失,這段時間稱之為:",保障期間,保單日期,彌償期間,事件發生後的保險期間,C,"營業中斷保險所保障的是,在接著火災等受保危險的發生的壹段時間內所遭受的損失。很明顯,必須為「中斷期間」(或彌償期間)設下壹個期限。"
190,以下哪項不屬於火險保單中的附加危險?,颶風,地震,閃電,暴亂,C,"附加危險也稱為特殊危險、類似危險或擴展危險。這些危險難以說是與火災、閃電和「狹義的」爆炸 這些基本危險相似,但傳統上可多付保費從而附加投保。特定火險單所承保的額外危險在其承保表上 指明,可包括暴動與罷工、沈降與山體滑坡、風暴與颱風、被汽車碰撞、被飛機損壞等。"
191,"由火引起的水、熱力及煙所造成的損毀,以下哪一項在一般的火險單中是會得到保障?",若火災是由建築物當中引起的,若損毀與第三者無關,若火警發生的近因是火災,若火災與第三者損失有關,C,"如果火災是近因,那麼「火災」損害便包括由煙、熱力,以及撲救火災時用的水引致的損害。"
192,"在火險保單當中,爆炸引致的損失是:",是屬於基本保單所保險的,屬於除外責任,某些情況下爆炸引致的損失是受保的(例如:家用氣體爆炸),必須額外繳付保費才能得到保障的,C,"雖然在標準火險保單中,爆炸是壹項除外的危險,但有關的除外責任條款載明不適用於作家居用途(非商用)的氣體(或鍋爐)的爆炸這項受保危險,所導致的損害。"
193,影響營業中斷保險的保費計算是受著中段期間的時段及:,火險對建築物徵收的保費率,火險中建築物其內物件的保險費率,毛利損失的保障額,中段期間所支付的工資額,B,"計算營業中斷保險的保費是複雜的,首先以火險中建築物室內物件的保險費率作為基本費率,然後再根據保障的相關時間因素來計算附加費。"
194,[火災」的定義是:,一些不應起火但起火的物件,實際的燃燒,非由被保險人故意引起或安排,以上所有各項,D,"「火災」這項危險是指不應起火的物體(不論是否受保財產)實際上起火了,而且不是由被保險人故意引起或安排的(即不是欺詐)。"
195,"在一般基本的商業火險保單,以下哪項對爆炸危險的說明是不正確的?",包括在除外危險,家居氣體爆炸是得到保障的,"就算繳交額外保費,要得到所述之保障是不可能的",以上所有各項,C,"雖然在標準火險保單中,爆炸是壹項除外的危險,但有關的除外責任條款載明不適用於作家居用途 (非商用)的氣體(或鍋爐)的爆炸這項受保危險,所導致的損害。"
196,以下哪項不屬於附加於本港簽發的商業火險單中「附加危險」的替代用詞?,擴展危險,類似危險,特殊危險,補充危險,D,附加危險也稱為特殊危險、類似危險或擴展危險。
197,"一種經濟權益保單,起初是以「利潤保單」來形容及後稱為:",利潤損失,後果損失,營業中斷,以上各項皆是,D,"「營業中斷保險」是該險種最為趨時的名稱,但是有時也稱為「後果損失保險」或「利潤損失保險」。"
198,"因爆炸所引起的火災損失,所進行賠償的項目為:",不會接受賠償,全部接受賠償,家庭氣體燃料爆炸所造成的損失,"所有因爆炸導致的損失,但不包括因爆炸而造成的火災所導致",C,"雖然在標準火險保單中,爆炸是壹項除外的危險,但有關的除外責任條款載明不適用於作家居用途(非商用)的氣體(或鍋爐)的爆炸這項受保危險,所導致的損害。"
199,以下哪項不是火災營業中斷保險的保障範圍?,由受保危險引起的毛利損失,在營業中斷期間支付的工資,因火災引致的財產損毀,由受保危險引致的附加開支,C,火災營業中斷保險的保障範圍包括: (i) 因受保危險而導致的毛利潤(按保單定義)損失。 (ii) 因受保危險而導致的必要和合理的附加費用(例如租用其他物業)。 (iii) 營業中斷期間支付的工資。
200,以下哪項是明文刊載受火災營業中斷保險保障的範圍?,淨利潤,毛利潤,受保處所的損失,以上各項皆是,B,火災營業中斷保險的保障範圍包括: (i) 因受保危險而導致的潤毛利潤(按保單定義)損失。 (ii) 因受保危險而導致的必要和合理的附加費用(例如租用其他物業)。 (iii) 營業中斷期間支付的工資。
201,"在香港承保的標準火險保單通常受到「受比例分攤條件」約束,即是:","假如投保額不足的話,保單屬無效",財產價值是按市場價值來釐定,保單費用是按市場上的平均數來釐定,"假如損失時出現保額不足的話,實質上等同保險人與被保險人共購一份保險",D,比例分攤條件指的是財產保險通常要求全額投保;在理賠時會對不足額保險的情況作出懲罰。
202,"火災營業中斷保險保費的釐定,是根據時間因素及:",受保物業的保額,受保物業的保費率,因火災損失之受保物業內物件的保費率,受保人選的受傷數目,C,"計算火災營業中斷保險的保費是複雜的,首先以火險中建築物室內物件的保險費率作為基本費率,然後再根據保障的相關時間因素來計算附加費。"
203,"典型的營業中斷保單規定引致營業中斷的財產損害,必須有另一保單予以賠償。這項保單條文一般稱為:",火災損害保證,實物損害附帶條件,財產損害保險要求,強制財產保險條件,B,"典型的實物損害附帶條件規定,如果沒有實物損害保險保障了同壹位保單持有人的利益,或相關的實物損害保險人既不承認責任亦不賠付引致營業中斷的實物損害的話,營業中斷保單就不會作出賠償。"
204,營業中斷保險的保費是根據承保的時間加上甚麼來計算的?,建築物的價值,火險單中的保費率,建築物室內物件的價值,租金的價值,C,"計算火災營業中斷保險的保費是複雜的,首先以火險中建築物室內物件的保險費率作為基本費率,然後再根據保障的相關時間因素來計算附加費。"
205,以下哪項不屬於需要特別附加於商業火險保單基本保障的額外危險?,旋風,閃電,地震,惡意破壞,B,"不管火災是否隨後發生閃電都是受保危險,"
206,"某中式酒樓發生火警,波及上一層屬於林先生的單位,而該單位是受到一份火災保險的保障。為什麼你認為林先生不能得到該保險的保障?",林先生是可以得到該保險的保障,因為林先生的單位不是首先起火,因為有關情況不符合保單內有關「火」的定義,"如有林先生的保單額外保障附加危險,就保障有關情況",A,"發生在鄰近物業中並符合定義的火災所產生的熱量、煙或水進而對受保財產造成的損害,也可構成有效的火災索償。"
207,以下哪項是火災營業中斷保險可以提供補償的範圍?,毛利(按保單的定義),工資(不包括毛利的計算),受保危險引致的必要開支,以上各項都是,D,火災營業中斷保險的保障範圍包括: (i) 因受保危險而導致的毛利潤(按保單定義)損失。 (ii) 因受保危險而導致的必要和合理的附加費用(例如租用其他物業)。 (iii) 營業中斷期間支付的工資。
208,以下哪項符合火險保險內「火災」的定義?,由閃電直接引致的火災所帶來的損毀,麵包烤爐內的麵包不小心被烘焦了,由被保險人故意引起或安排,以上所有各項皆不正確,A,"「火災」這項危險是指不應起火的物體(不論是否受保財產)實際上起火了,而且不是由被保險人故意引起或安排的(即不是欺詐)。"
209,以下哪項對閃電發生所引致的火警的描述是正確的?,是除外責任,不是除外責任,"是一種特殊危險,但可以除外危險作附近保障","是一種基本風險,包括在保單的保障範圍內",B,"不管火災是否隨後發生閃電都是受保危險,"
210,"火災營業中斷保險保單條款中,如受保危險發生後,可得保障一段時間,這段時間稱為:",事件發生後的保險期間,保單日期,保障期間,中斷期間,D,"營業中斷保險所保障的是,在接著火災等受保危險的發生的壹段時間內所遭受的損失。很明顯,必須為「中斷期間」(或彌償期間)設下壹個期限。"
211,"在商業保單中,火災的定義為:",只限於發生在受保建築物中的火,不局限於受保建築物中的火災,不包括由其他人故意引起的火災,只限於由受保人引起的火災,B,"「火災」這項危險是指不應起火的物體(不論是否受保財產)實際上起火了,而且不是由被保險人故意引起或安排的(即不是欺詐)。火災無須在受保處所燃燒。"
212,以下哪些是適用於營業中斷保險的名稱?,後果損失,附加危險,商業「全」險,上述各項,A,「營業中斷保險」有時也稱為「後果損失保險」或「利潤損失保險」。
213,"投保一般火險後,以下哪些情況屬於賠償範圍?",因長期日光暴曬引致的油漆損害,"建築物因意外火災引起的濃煙,引致損失","被保人縱火所引起的濃煙,引致損失",一家餐廳的熔爐長期因使用發出的煙引致油漆損害,B,"發生在鄰近物業中並符合定義的火災所產生的熱量、煙或水進而對受保財產造成的損害,也可構成有 效的火災索償。"
214,"火險保單中,「火災」的定義:",只限於在受保處裡發生的火警,不限於受保處所裡發生的火警,不包括任何人故意引起的火警,不包括被保險人疏忽引致的火警,B,"「火災」這項危險是指不應起火的物體(不論是否受保財產)實際上起火了,而且不是由被保險人故意引起或安排的(即不是欺詐)。火災無須在受保處所燃燒,"
215,"一般火險保單大多數按比例分攤的方法賠償,意思是:","當損失出現於不足額保障時,被保險人得不到足額賠償","當損失出現於不足額保障時,保單便屬無效",財產價值是按市場價值來釐定,保單費用是按市面上的平均數來釐定,A,比例分攤條件是指財產保險通常要求全額投保;在理賠時會對不足額保險的情況作出懲罰。
216,"在火災及附加危險保險中,通常會在哪些情況下受到自負額的限制?",當出現不足額保險的情況,針對閃電造成的損害,針對某些附加危險而已,針對所有索償而不論原因,C,"用於基本保障(即火災、閃電和「某種」爆炸)中的自負額並不多見,然而,某些附加危險的保障設 有標準的自負額。"
217,"火險的保費是根據每一百元收 0.1元的保費,若保額是五百萬,保費應為?",五十元,五百元,五千元,五萬元,C,"每$100收取$0.1,即保費的0.1% $5, 000, 000 x 0.1% = $5,000"
218,以下哪項是火險保單的計算根據?,被保險人所付出的工資,生意的營業額,保障的時間,保障物件的價值,D,保障物件的價值是火險保單的計算根據。
219,以下哪項不是商業火險的常見的目標物件?,建築物,營業存貨,辦公室家具,機器,C,"承保多類受保財產的話(如下),通常會在火險單上顯示各別的保額: (1) 建築物: (2) 營業存貨: (3) 機器; (4) 其他物件。"
220,"營業中斷保險是為「利潤」作出保障,它亦稱為:",中斷賠償,利潤保障,後果損失,中斷期間,C,"「營業中斷保險」是該險種最為趨時的名稱,但是有時也稱為「後果損失保險」或「利潤損失保險」。"
221,以下哪項情況為火險的基本保障範圍?,於烘麵包時燒焦麵包,火災後因消防人員救火時造成的財物損毀,戰爭中所造成的火災,因被保險人故意放火造成的火災,B,"如果火災是近因,那麼「火災」損害便包括由煙、熱力,以及撲救火災時用的水引致的損害。由消防隊或其他參與救火的人合理地造成的損害,也在保障範圍之內。"
222,"在「全險」中,一般的除外責任包括哪些項目?",損耗,折舊,基於逐漸運作而引起的損失,上述各項,D,"損耗、折舊等是必然發生的,因此是不可保的。"
223,以下哪項關於約定價值保單的陳述是正確的?,它通常為貴重物品提供保障,全損時將支付保額,須專家進行獨立的專業估值,以上各項皆是,D,"以「全險」方式承保貴重物品這個本來意圖仍然重要。給貴重物品承保「全保」,通常採用約定價值 保障(意義是全損時不需理會實際價值而支付保額),而相關保額或約定價值相當可能是依據獨立而專業的估值來釐訂的。"
224,下列哪項或哪些對全險保單中的「約定價值」條款的評論是正確的?,它一般涉及貴重物品(如古董花瓶),全損時按保額赔付,於保單開始時一般涉及專業估值,上述所有各項,D,"以「全險」方式承保貴重物品這個本來意圖仍然重要。給貴重物品承保「全保」,通常採用約定價值保障(意義是全損時不需理會實際價值而支付保額),而相關保額或約定價值相當可能是依據獨立而專業的估值來釐訂的。"
225,「全險」保險的「約定價值」保障是指:,各項損失的支付金額均在事前議定,支付全損的索償金額在事前議定,支付部份損失的索償金額在事前議定,"對於每項及各項索償,保額與最低支付金額相同",B,"給貴重物品承保「全保」,通常採用約定價值保障(全損時支付保額,其實際價值無須理會),而約定價值須於開始時依據獨立而專業的估值來釐訂。"
226,"「全險」的保費一般是根據兩方面而釐訂。其一是保額,另一方面則是:",被保人的性別,被保人的居住地區,受保障的地區範圍,被保人的年齡,C,"保費必然是根據保額的壹定比率來計算的。同時,受保障的地區範圍不同,保險費率便會有所不同(全球保障的保費自然是最高的)。"
227,比例分攤在「全險」的保單當中是:,經常適用,經常適用於指明的物件,經常適用於未有指明的物件,完全不適用,C,"如果保障範圍包括了不指明物件,那麼有關保障就相當可能適用比例分攤條款。當每件物品都設有本 身的保額時,比例分攤就不壹定適用。"
228,以下哪項不是「全險」保單中的除外責任?,機械生鏽損毀,機器損毀後石頭從環上掉下,因不小心在船邊掉下的相機,因折舊而令電腦的價值下降,C,"損耗、折舊等是必然發生的,因此是不可保的。"
229,"有些財產保險用「全險」的形式作保障,「全險」是指:",沒有任何除外責任,任何想像到的危險都可得到保障,"除非屬於特定除外,否則所有損失或損壞都可得到保障","在指定名單上的危險才可得到保障,其他則屬除外",C,"「全險」的意思是所有損失或損害均屬保障範圍內,具體豁免保障者則除外。若要拒賠,保險人便有法律責任證明哪項除外責任是適用的。"
230,"大部份財產保險有為特定危險所造成之損失提供保障。此外,還有哪一類常見之保障?",全險,指定危險,單一危險,非指定危險,A,"「全險」也是常見的保障,"
